,label,sentence
354,shame,"when i told a girl that i could not take her out that night as i was entertaining my mother who had come from home however , i later met this girl with another girlfriend at a hostel where i had taken out another girlfriend of mine"
355,anger,no response
356,anger,"my friend half teasingly called me a bad nickname i felt insulted and kicked his hip in anger i was stable later and did not feel angry at him in fact i was afraid that the other friends who were with us would think that i was an intolerant person however i could not apologize , so i pretended that nothing had happened and smiled when i left my friend did not say anything but just watched me leave"
357,guilt,broken a friend ' s cup
358,shame,i have never felt this emotion
359,guilt,i once stole my father ' s money and denied having done it instead father threatened my young brother and he was beaten he was innocent and i felt guilty
360,joy,"i was very glad when i learned i was a student already i heard about it over the phone , i didn ' t believe it at first"
361,joy,when my elder sister had a baby girl she was the first girl in the family after 19 years of baby boys
362,joy,getting a good mark for a subject i had worked hard at but expected only a moderate mark
363,guilt,one saturday night i did some meaningless work and went to bed very late next morning i had was very sleepy so i continued sleeping even though i had work to do and i missed the sunday service
364,joy,"i had a summer job in sweden , and my boyfriend came to meet me on my birthday"
365,joy,doing well in an examn
366,guilt,"after having been told not to take the car , i took it anyway and felt guilty about having taken it"
367,fear,the weather is very bad ( fog and slipperiness ) the newcast reports many traffic accidents and my boyfriend is driving home and still has 60 kilometers to go
368,shame,"when i did not do well in the pg310 test i , i got only 4 marks above the pass marks despite my effort i felt bad because quite a number of friends did better"
369,disgust,"a friend ' s boy friend treated her very badly , let her serve him , provoked her and just utilized her"
370,joy,i was told that i had passed the statistics exam i had not expected this so i was very happy
371,joy,when my favourite football team made a goal and was about to win the cup of england
372,disgust,saw a very arrogant girl walking like a queen
373,sadness,when my grandfather died
374,anger,"during a lecture , a colleague who did not know anything about the subject , got on my nerves asking silly questions"
375,shame,when i first had a sexual intercourse
